IDENTIFICADOR_OBRA,obra_PROCESO_mean,obra_PROCESO_max,obra_PROCESO_min,obra_CODIGO_RUC_GANADOR_mean,obra_CODIGO_RUC_GANADOR_max,obra_CODIGO_RUC_GANADOR_min,obra_CONVOCATORIA_PROCESO_GANADO_mean,obra_CONVOCATORIA_PROCESO_GANADO_max,obra_CONVOCATORIA_PROCESO_GANADO_min,obra_TotalProcesosParticipantes_mean,obra_TotalProcesosParticipantes_max,obra_TotalProcesosParticipantes_min,obra_CODIGO_CONTRATO_mean,obra_CODIGO_CONTRATO_max,obra_CODIGO_CONTRATO_min,obra_CODIGO_RUC_PARTICIPANTE_mean,obra_CODIGO_RUC_PARTICIPANTE_max,obra_CODIGO_RUC_PARTICIPANTE_min,obra_n_ofertas_mean,obra_n_ofertas_max,obra_n_ofertas_min,obra_monto_ofertado_min_mean,obra_monto_ofertado_min_max,obra_monto_ofertado_min_min,obra_monto_ofertado_max_mean,obra_monto_ofertado_max_max,obra_monto_ofertado_max_min,obra_monto_ofertado_mean_mean,obra_monto_ofertado_mean_max,obra_monto_ofertado_mean_min,obra_monto_ofertado_median_mean,obra_monto_ofertado_median_max,obra_monto_ofertado_median_min,obra_monto_ofertado_std_mean,obra_monto_ofertado_std_max,obra_monto_ofertado_std_min,obra_monto_ofertado_rango_mean,obra_monto_ofertado_rango_max,obra_monto_ofertado_rango_min,obra_obra_2a3a_n_registros_mean,obra_obra_2a3a_n_registros_max,obra_obra_2a3a_n_registros_min,obra_obra_2a3a_nunique_CODIGO_RUC_mean,obra_obra_2a3a_nunique_CODIGO_RUC_max,obra_obra_2a3a_nunique_CODIGO_RUC_min,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_mean,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_max,obra_obra_2a3a_nunique_MIEMBROS_DE_COMITE_min,obra_obra_2a3a_nunique_TotalProcesosParticipantes_mean,obra_obra_2a3a_nunique_TotalProcesosParticipantes_max,obra_obra_2a3a_nunique_TotalProcesosParticipantes_min,obra_obra_2b_n_registros_mean,obra_obra_2b_n_registros_max,obra_obra_2b_n_registros_min,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_mean,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_max,obra_obra_2b_nunique_DNI_MIEMBRO_COMITE_min,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_mean,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_max,obra_obra_2b_nunique_NOMBRE_MIEMBRO_COMITE_min,obra_obra_5a_n_registros_mean,obra_obra_5a_n_registros_max,obra_obra_5a_n_registros_min,obra_CODIGO_UNICO_first,obra_CODIGO_UNICO_nunique,obra_SECTOR_first,obra_SECTOR_nunique,obra_DEPARTAMENTO_first,obra_DEPARTAMENTO_nunique,obra_NIVEL_GOBIERNO_first,obra_NIVEL_GOBIERNO_nunique,obra_OBJETO_PROCESO_first,obra_OBJETO_PROCESO_nunique,obra_CODIGO_OBRA_first,obra_CODIGO_OBRA_nunique,obra_NOMBREOBRA_first,obra_NOMBREOBRA_nunique,obra_METODO_CONTRATACION_first,obra_METODO_CONTRATACION_nunique,obra_RAZON_SOCIAL_first,obra_RAZON_SOCIAL_nunique,obra_NUMERO_CONTRATO_first,obra_NUMERO_CONTRATO_nunique,obra_NOMBRE_PARTICIPANTE_first,obra_NOMBRE_PARTICIPANTE_nunique,y_riesgo_obra_4niveles,func_n_registros,func_n_funcionarios,func_riesgo_max,func_riesgo_mean,func_riesgo_std,func_pct_riesgo_alto
2425240-2425240-656768-2020868-130759,33.0,33,33,19058459694.285713,20604936668,10285910043,656768.0,656768,656768,92.71428571428571,199,45,2020868.0,2020868,2020868,20264643041.292683,20605474960,10285910043,287.0,287,287,529077.15,529077.15,529077.15,916774.12,916774.12,916774.12,692389.022195122,692389.022195122,692389.022195122,825096.79,825096.79,825096.79,153259.26165084302,153259.26165084302,153259.26165084302,387696.97,387696.97,387696.97,7.0,7,7,7.0,7,7,1.0,1,1,7.0,7,7,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2425240,1,TRANSPORTE,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Obra,1,130759,1,INSTALACIÓN DEL PUENTE MODULAR LOS ARABES; DISTRITO Y PROVINCIA DE HUARMEY; REGIÓN ANCASH.,1,Procedimiento Especial de Contratación,1,SGS,38,Nº 232-2020-MTC-21,1,SGS,38,2,0.0,0.0,0.0,0.0,0.0,0.0
2427358-2427358-881574-2182436-169628,1.0,1,1,20602371442.0,20602371442,20602371442,881574.0,881574,881574,104.0,104,104,2182436.0,2182436,2182436,20602371442.0,20602371442,20602371442,1.0,1,1,113919115.1,113919115.1,113919115.1,113919115.1,113919115.1,113919115.1,113919115.1,113919115.1,113919115.1,113919115.1,113919115.1,113919115.1,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.0,1,1,2427358,1,SALUD,1,APURIMAC,1,GOBIERNO NACIONAL,1,Obra,1,169628,1,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL TAMBOBAMBA; DISTRITO DE TAMBOBAMBA - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC,1,Adjudicación Simplificada,1,CHINA GEZHOUBA GROUP COMPANY LIMITED SUCURSAL PERU,1,10-2023-PRONIS,1,CHINA GEZHOUBA GROUP COMPANY LIMITED SUCURSAL PERU,1,2,17.0,16.0,0.0,0.0,0.0,0.0
2427358-2427358-901959-2200762-169628,3.0,3,3,20336352233.5,20409331409,20263373058,901959.0,901959,901959,87.5,164,11,2200762.0,2200762,2200762,17166401063.727272,20510849770,10086838228,22.0,22,22,5728534.32,5728534.32,5728534.32,5728534.32,5728534.32,5728534.32,5728534.32,5728534.32,5728534.32,5728534.32,5728534.32,5728534.32,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2427358,1,SALUD,1,APURIMAC,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,169628,1,MEJORAMIENTO DE LOS SERVICIOS DE SALUD DEL HOSPITAL TAMBOBAMBA; DISTRITO DE TAMBOBAMBA - PROVINCIA DE COTABAMBAS - DEPARTAMENTO DE APURIMAC,1,Concurso Público,1,CONSORCIO CONSULTOR TAMBOBAMBA,11,17,1,CONSORCIO CONSULTOR TAMBOBAMBA,11,2,0.0,0.0,0.0,0.0,0.0,0.0
2428087-2428087-643231-2018416-129252,3.0,3,3,15309107756.5,20538812111,10079403402,643231.0,643231,643231,89.5,126,53,2018416.0,2018416,2018416,20875695735.625,99000031743,10001046191,32.0,32,32,2338845.03,2338845.03,2338845.03,2338845.03,2338845.03,2338845.03,2338845.03,2338845.03,2338845.03,2338845.03,2338845.03,2338845.03,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2428087,1,SANEAMIENTO,1,TACNA,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,129252,1,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN 7 DISTRITOS DE LA PROVINCIA DE TACNA - DEPARTAMENTO DE TACNA,1,Concurso Público,1,CONSORCIO SUPERVISOR SAN MIGUEL ARCANGEL,13,082-2020,1,CONSORCIO SUPERVISOR SAN MIGUEL ARCANGEL,13,1,12.0,10.0,0.0,0.0,0.0,0.0
2428087-2428087-680915-2032854-129252,1.0,1,1,20548160147.0,20548160147,20548160147,680915.0,680915,680915,18.0,18,18,2032854.0,2032854,2032854,20548160147.0,20548160147,20548160147,1.0,1,1,4395588.5,4395588.5,4395588.5,4395588.5,4395588.5,4395588.5,4395588.5,4395588.5,4395588.5,4395588.5,4395588.5,4395588.5,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2428087,1,SANEAMIENTO,1,TACNA,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,129252,1,MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN 7 DISTRITOS DE LA PROVINCIA DE TACNA - DEPARTAMENTO DE TACNA,1,Convenio,1,FICHTNER WATER & TRANSPORTATION GMBH SUCURSAL DEL PERU,1,001-2020/1.0,1,FICHTNER WATER & TRANSPORTATION GMBH SUCURSAL DEL PERU,1,1,0.0,0.0,0.0,0.0,0.0,0.0
2428356-2428356-763890-2091852-152016,35.0,35,35,20263373058.0,20263373058,20263373058,763890.0,763890,763890,164.0,164,164,2091852.0,2091852,2091852,18171369710.0,20548931321,10101999039,7.0,7,7,2793393.47,2793393.47,2793393.47,3064973.38,3064973.38,3064973.38,2832190.6000000006,2832190.6000000006,2832190.6000000006,2793393.47,2793393.47,2793393.47,102647.55756304307,102647.55756304307,102647.55756304307,271579.9099999997,271579.9099999997,271579.9099999997,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2428356,1,SALUD,1,CAJAMARCA,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,152016,1,AMPLIACION DE LOS SERVICIOS DE ONCOLOGIA Y HEMODIALISIS DEL HOSPITAL REGIONAL DE CAJAMARCA; DISTRITO DE CAJAMARCA - PROVINCIA DE CAJAMARCA - DEPARTAMENTO DE CAJAMARCA,1,Adjudicación Simplificada - Ley N° 31125,1,DEXTRE MORIMOTO EDUARDO RAUL,7,21-Apr,1,DEXTRE MORIMOTO EDUARDO RAUL,7,3,12.0,6.0,3.0,0.8333333333333334,1.2673044646258476,0.16666666666666666
2428356-2428356-767107-2099542-152016,42.0,42,42,10101999039.0,10101999039,10101999039,767107.0,767107,767107,152.0,152,152,2099542.0,2099542,2099542,15347945557.25,20600248333,10101999039,4.0,4,4,653894.5,653894.5,653894.5,653894.5,653894.5,653894.5,653894.5,653894.5,653894.5,653894.5,653894.5,653894.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2428356,1,SALUD,1,CAJAMARCA,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,152016,1,AMPLIACION DE LOS SERVICIOS DE ONCOLOGIA Y HEMODIALISIS DEL HOSPITAL REGIONAL DE CAJAMARCA; DISTRITO DE CAJAMARCA - PROVINCIA DE CAJAMARCA - DEPARTAMENTO DE CAJAMARCA,1,Adjudicación Simplificada - Ley N° 31125,1,DEXTRE MORIMOTO EDUARDO RAUL,4,"C.C. O, PARA LA SUPERVICION DE ELABORACION DE EXP. TEC.  002-2022-.GR.CAJ/PROREGION",1,DEXTRE MORIMOTO EDUARDO RAUL,4,3,0.0,0.0,0.0,0.0,0.0,0.0
2446345-2446345-705281-2049567-142821,10.0,10,10,20607671061.0,20607671061,20607671061,705281.0,705281,705281,3.0,3,3,2049567.0,2049567,2049567,20607671061.0,20607671061,20607671061,1.0,1,1,363691781.0,363691781.0,363691781.0,363691781.0,363691781.0,363691781.0,363691781.0,363691781.0,363691781.0,363691781.0,363691781.0,363691781.0,,,,0.0,0.0,0.0,1.0,1,1,1.0,1,1,0.0,0,0,1.0,1,1,,,,,,,,,,7.0,7,7,2446345,1,ORDEN PÚBLICO Y SEGURIDAD,1,LA LIBERTAD,1,GOBIERNO REGIONAL,1,Obra,1,142821,1,CREACION DEL SERVICIO DE PROTECCIÓN CONTRA INUNDACIONES EN LA QUEBRADA DE SAN IDELFONSO; EN LOS DISTRITOS DE EL PORVENIR; TRUJILLO Y VICTOR LARCO HERRERA DE LA  PROVINCIA DE TRUJILLO - DEPARTAMENTO DE LA LIBERTAD - PAQUETE 2 DIQUES,1,Convenio,1,CONSORCIO BESALCO STRACON,1,CONTRATO DE FECHA 8/04/2021,1,CONSORCIO BESALCO STRACON,1,0,0.0,0.0,0.0,0.0,0.0,0.0
2451550-2451550-702502-2059380-127427,6.0,6,6,20101345018.0,20101345018,20101345018,702502.0,702502,702502,142.0,142,142,2059380.0,2059380,2059380,20442234830.4,20602584357,20101345018,10.0,10,10,7799276.480000001,7799276.48,7799276.48,7799276.480000001,7799276.48,7799276.48,7799276.480000001,7799276.480000001,7799276.480000001,7799276.480000001,7799276.48,7799276.48,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2451550,1,TRANSPORTE,1,HUANCAVELICA,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,127427,1,MEJORAMIENTO DE LA CARRETERA IZCUCHACA - HUANTA; TRAMO: IZCUCHACA - MAYOCC DISTRITO DE IZCUCHACA - PROVINCIA DE HUANCAVELICA - DEPARTAMENTO DE HUANCAVELICA,1,Adjudicación Simplificada,1,HOB CONSULTORES S.A.,8,060-2021-MTC/20.2,1,HOB CONSULTORES S.A.,8,3,6.0,6.0,3.0,0.5,1.224744871391589,0.16666666666666666
2454755-2454755-621993-2003957-116356,9.0,9,9,10170162141.5,10255871124,10084453159,621993.0,621993,621993,67.0,111,23,2003957.0,2003957,2003957,15358706433.75,20602111041,10084453159,8.0,8,8,2500000.0,2500000.0,2500000.0,2518896.96,2518896.96,2518896.96,2509448.48,2509448.48,2509448.48,2509448.48,2509448.48,2509448.48,10100.84999593876,10100.84999593876,10100.84999593876,18896.959999999963,18896.959999999963,18896.959999999963,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2454755,1,TRANSPORTE,1,SAN MARTIN,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,116356,1,Mejoramiento del servicio de transitabilidad del camino vecinal; emp. PE-5N (Dv. Yacucatina) - Utcurarca - Machungo - Sauce; Distritos de Juan Guerra; Alberto Leveau; Sauce y Pilluana; Provincia de San Martín y Picota; Departamento de San Martín.,1,Adjudicación Simplificada,1,CONSORCIO CONSULTOR EL SAUCE,4,123,1,CONSORCIO CONSULTOR EL SAUCE,4,2,12.0,9.0,0.0,0.0,0.0,0.0
2454755-2454755-837834-2161318-116356,10.0,10,10,10209714006.5,10408417479,10011010534,837834.0,837834,837834,83.0,108,58,2161318.0,2161318,2161318,18384868384.2,20607312461,10011010534,30.0,30,30,6132787.81,6132787.81,6132787.81,70744000.0,70744000.0,70744000.0,15096342.539333334,15096342.539333334,15096342.539333334,6132787.81,6132787.81,6132787.81,22205179.226659432,22205179.226659432,22205179.226659432,64611212.18999999,64611212.19,64611212.19,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2454755,1,TRANSPORTE,1,SAN MARTIN,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,116356,1,Mejoramiento del servicio de transitabilidad del camino vecinal; emp. PE-5N (Dv. Yacucatina) - Utcurarca - Machungo - Sauce; Distritos de Juan Guerra; Alberto Leveau; Sauce y Pilluana; Provincia de San Martín y Picota; Departamento de San Martín.,1,Concurso Público,1,DELGADO VASQUEZ GEICEN BLADISLAV(*),15,110-2022-GRSM/GGR,1,DELGADO VASQUEZ GEICEN BLADISLAV(*),15,2,0.0,0.0,0.0,0.0,0.0,0.0
2470680-2470680-693030-2055637-138923,45.0,45,45,20344389694.0,20551946020,20136833368,693030.0,693030,693030,68.5,75,62,2055637.0,2055637,2055637,20368390206.333332,20600891317,20101345018,18.0,18,18,6709467.55,6709467.55,6709467.55,6709467.55,6709467.55,6709467.55,6709467.55,6709467.55,6709467.55,6709467.55,6709467.55,6709467.55,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2470680,1,TRANSPORTE,1,PIURA,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,138923,1,MEJORAMIENTO DE LA CARRETERA RUTA PE-1N T; TRAMO: PAIMAS - AYABACA - EMP. PE-3N (SOCCHABAMBA),1,Concurso Público,1,HOB CONSULTORES S.A.,8,048-2021-MTC/20.2,1,HOB CONSULTORES S.A.,8,3,6.0,6.0,3.0,1.0,1.5491933384829668,0.3333333333333333
2471722-2471722-818155-2130970-164856,4.0,4,4,10450329681.5,10454278033,10446381330,818155.0,818155,818155,248.0,405,91,2130970.0,2130970,2130970,12058599374.5,20600601467,10200902861,12.0,12,12,359910.0,359910.0,359910.0,399900.0,399900.0,399900.0,386570.0,386570.0,386570.0,399900.0,399900.0,399900.0,19689.71489705406,19689.71489705406,19689.71489705406,39990.0,39990.0,39990.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2471722,1,PLANEAMIENTO; GESTIÓN Y RESERVA DE CONTINGENCIA,1,LIMA,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,164856,1,"PIP: ""MEJORAMIENTO DEL SERVICIO DE HABITABILIDAD INSTITUCIONAL Y DE VIVIENDAS DE LAS UNIDADES ACANTONADAS EN EL FUERTE GRAL. DE DIVISIÓN RAFAEL HOYOS RUBIO; UBICADO EN EL DISTRITO DEL RIMAC - DPTO/PROV LIMA - LIMA""",1,Adjudicación Simplificada,1,consorcio hoyos rubio,6,005 - 2022,1,consorcio hoyos rubio,6,2,6.0,6.0,0.0,0.0,0.0,0.0
2471736-2471736-655576-2020834-131605,5.0,5,5,15440354161.5,20568844671,10311863652,655576.0,655576,655576,44.5,69,20,2020834.0,2020834,2020834,15440354161.5,20568844671,10311863652,4.0,4,4,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2471736,1,AGROPECUARIA,1,SAN MARTIN,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,131605,1,MEJORAMIENTO DE LA INFRAESTRUCTURA DE RIEGO DEL CANAL DE IRRIGACIÓN MARGEN IZQUIERDA DEL RÍO SISA DE LOS DISTRITOS DE SAN PABLO; SAN HILARION; PUERTO RICO Y DISTRITO DE CASPISAPA - PROVINCIA DE PICOTA - DEPARTAMENTO DE SAN MARTIN ,1,Adjudicación Simplificada,1,CONSORCIO IRRIGACION SISA,2,008-2020-OAyCP-GAF/MPP,1,CONSORCIO IRRIGACION SISA,2,3,6.0,6.0,3.0,0.5,1.224744871391589,0.16666666666666666
2472603-2472603-656014-2036906-132120,22.0,22,22,20100356270.0,20100356270,20100356270,656014.0,656014,656014,130.0,130,130,2036906.0,2036906,2036906,34753288886.09091,99000027908,20100356270,11.0,11,11,5079133.88,5079133.88,5079133.88,5079133.88,5079133.88,5079133.88,5079133.88,5079133.88,5079133.88,5079133.88,5079133.88,5079133.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2472603,1,TRANSPORTE,1,PIURA,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,132120,1,CONSTRUCCION DE PUENTES POR REEMPLAZO EN SULLANA TAMBOGRANDE PAIMAS,1,Concurso Público,1,GMI S A INGENIEROS CONSULTORES,10,004-2021-MTC/20.2,1,GMI S A INGENIEROS CONSULTORES,10,3,6.0,6.0,3.0,0.5,1.224744871391589,0.16666666666666666
2473375-2473375-769507-2097720-153456,2.0,2,2,20555634740.666668,20605881328,20503028655,769507.0,769507,769507,59.0,102,4,2097720.0,2097720,2097720,20555634740.666668,20605881328,20503028655,9.0,9,9,5446107.27,5446107.27,5446107.27,5446107.27,5446107.27,5446107.27,5446107.27,5446107.27,5446107.27,5446107.27,5446107.27,5446107.27,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3,3,3.0,3,3,1.0,1,1,3.0,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,1,2473375,1,TRANSPORTE,1,CALLAO,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,153456,1,ESTUDIO DEFINITIVO DE INGENIERIA DEL PROYECTO DE CONSTRUCCION VIA EXPRESA SANTA ROSA -VESR,1,Convenio,1,CONSORCIO SANTA ROSA - ARTIFICIAL -TYPSA,2,ACUERDO,1,CONSORCIO SANTA ROSA - ARTIFICIAL -TYPSA,2,0,3.0,3.0,0.0,0.0,0.0,0.0
2479971-2479971-820095-2143955-165523,8.0,8,8,20100878489.0,20100878489,20100878489,820095.0,820095,820095,126.0,126,126,2143955.0,2143955,2143955,16831756622.666666,20393345188,10001046191,3.0,3,3,2753118.35,2753118.35,2753118.35,3059005.69,3059005.69,3059005.69,2957043.2433333336,2957043.2433333336,2957043.2433333336,3059005.69,3059005.69,3059005.69,176604.1380906985,176604.1380906985,176604.1380906985,305887.33999999985,305887.33999999985,305887.33999999985,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2479971,1,SANEAMIENTO,1,AREQUIPA,1,GOBIERNO LOCAL,1,Consultoría de Obra,1,165523,1,SERVICIO DE CONSULTORIA DE SUPERVISION DE LA OBRA AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN LOS DISTRITOS DE SOCABAYA; SABANDIA Y CHARACATO DE LA PROVINCIA DE AREQUIPA; DEPARTAMENTO DE AREQUIPA,1,Concurso Público,1,CONSORCIO SUR PERUANO,3,46-2022,1,CONSORCIO SUR PERUANO,3,0,6.0,6.0,0.0,0.0,0.0,0.0
2479971-2479971-892317-2186347-163741,14.0,14,14,20490880691.0,20533979727,20447781655,892317.0,892317,892317,79.5,97,62,2186347.0,2186347,2186347,20457686494.76923,20602979173,20133176404,26.0,26,26,71732289.99,71732289.99,71732289.99,83367320.19,83367320.19,83367320.19,78662471.91923076,78662471.91923076,78662471.91923076,79401275.74,79401275.74,79401275.74,3442454.5585812503,3442454.5585812503,3442454.5585812503,11635030.200000001,11635030.200000003,11635030.200000003,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2479971,1,SANEAMIENTO,1,AREQUIPA,1,GOBIERNO LOCAL,1,Obra,1,163741,1,OBRA: AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE EN LOS DISTRITOS DE SOCABAYA; SABANDIA Y CHARACATO DE LA PROVINCIA DE AREQUIPA; DEPARTAMENTO DE AREQUIPA,1,Adjudicación Simplificada,1,CONSORCIO SANEAMIENTO AQP,11,37-2023,1,CONSORCIO SANEAMIENTO AQP,11,2,6.0,6.0,0.0,0.0,0.0,0.0
2487020-2487020-702640-2062038-129393,2.0,2,2,15398387851.5,20392462105,10404313598,702640.0,702640,702640,577.5,676,479,2062038.0,2062038,2062038,16440226828.8,20603019793,10200447331,10.0,10,10,3207463.3,3207463.3,3207463.3,3207463.3,3207463.3,3207463.3,3207463.3,3207463.3,3207463.3,3207463.3,3207463.3,3207463.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,2,2.0,2,2,1.0,1,1,2.0,2,2,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2487020,1,AGROPECUARIA,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,129393,1,Mejoramiento y ampliacion del servicio de agua para riego del Sistema de Riego Yanapujio-Valle de Tambo en los distritos de Ichuña y Ubinas de la provincia de General Sanchez Cerro del departamento de Moquegua y la provincia de Islay del departamento de Arequipa Codigo Unico de Inversion CUI N 2487020,1,Concurso Público,1,CONSORCIO SUPERVISOR VALLE DE TAMBO,5,CONTRATO 009-2021-MIDAGRI-PSI,1,CONSORCIO SUPERVISOR VALLE DE TAMBO,5,3,12.0,10.0,3.0,0.5,1.1677484162422844,0.16666666666666666
2487020-2487020-707056-2061035-129393,1.0,1,1,20139424710.0,20139424710,20139424710,707056.0,707056,707056,25.0,25,25,2061035.0,2061035,2061035,19321015799.666668,20601137624,10404313598,9.0,9,9,9543356.85,9543356.85,9543356.85,9543356.85,9543356.85,9543356.85,9543356.85,9543356.85,9543356.85,9543356.85,9543356.85,9543356.85,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1.0,1,1,1.0,1,1,1.0,1,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2487020,1,AGROPECUARIA,1,MULTIDEPARTAMENTAL,1,GOBIERNO NACIONAL,1,Consultoría de Obra,1,129393,1,Mejoramiento y ampliacion del servicio de agua para riego del Sistema de Riego Yanapujio-Valle de Tambo en los distritos de Ichuña y Ubinas de la provincia de General Sanchez Cerro del departamento de Moquegua y la provincia de Islay del departamento de Arequipa Codigo Unico de Inversion CUI N 2487020,1,Concurso Público,1,CONSORCIO MILKO,8,CONTRATO N° 08-2021-MIDAGRI-PSI,1,CONSORCIO MILKO,8,3,0.0,0.0,0.0,0.0,0.0,0.0
2489058-2489058-891853-2187416-500659,1.0,1,1,10220898870.6,10413692682,10001046191,891853.0,891853,891853,81.2,122,54,2187416.0,2187416,2187416,23489962298.0,99000027908,10001046191,45.0,45,45,6991650.0,6991650.0,6991650.0,8250147.0,8250147.0,8250147.0,7702883.0,7702883.0,7702883.0,7768500.0,7768500.0,7768500.0,430653.25793391,430653.25793391006,430653.25793391006,1258497.0,1258497.0,1258497.0,5.0,5,5,5.0,5,5,1.0,1,1,5.0,5,5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1,1,2489058,1,TRANSPORTE,1,LORETO,1,GOBIERNO REGIONAL,1,Consultoría de Obra,1,500659,1,MEJORAMIENTO Y AMPLIACIÓN DE LA INFRAESTRUCTURA VIAL DE LA AVENIDA ABELARDO QUIÑONES EN LOS DISTRITOS DE BELÉN Y SAN JUAN BAUTISTA DE LA PROVINCIA DE MAYNAS - DEPARTAMENTO DE LORETO,1,Concurso Público,1,CONSULTORES ASOCIADOS DEL ORIENTE,6,25-2023-GRL-OPIPP-DE,1,CONSULTORES ASOCIADOS DEL ORIENTE,6,2,12.0,6.0,0.0,0.0,0.0,0.0
