CODIGO_OBRA,func_n_funcionarios,func_n_registros,func_riesgo_max,func_riesgo_mean,func_riesgo_std,func_score_max,func_score_mean,func_score_std,func_score_responsabilidad_mean,func_score_sancion_mean,func_pct_alto_riesgo,func_pct_medio_o_alto,func_n_obras_mean,func_n_obras_max,func_n_empresas_mean,func_n_empresas_max,func_n_representaciones_mean,func_n_representaciones_max,func_n_empresas_representadas_mean,func_n_empresas_representadas_max
156611,10,10,3,0.3,0.9486832980505138,21,2.1,6.640783086353596,1.9,0.2,0.1,0.1,8.4,14,9.9,23.0,0.0,0.0,0.0,0.0
156612,10,10,3,0.3,0.9486832980505138,21,2.1,6.640783086353596,1.9,0.2,0.1,0.1,8.6,14,11.7,23.0,0.0,0.0,0.0,0.0
156613,15,15,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.933333333333334,14,9.4,23.0,0.0,0.0,0.0,0.0
156614,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11,9.0,15.0,0.0,0.0,0.0,0.0
156615,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.333333333333334,14,11.333333333333334,23.0,0.0,0.0,0.0,0.0
156617,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,8.666666666666666,13,11.166666666666666,17.0,0.0,0.0,0.0,0.0
156662,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,3,5.333333333333333,6.0,0.0,0.0,0.0,0.0
157262,7,7,3,0.5714285714285714,1.1338934190276817,16,2.857142857142857,5.984105932344765,2.857142857142857,0.0,0.14285714285714285,0.14285714285714285,3.7142857142857144,4,5.428571428571429,6.0,0.0,0.0,0.0,0.0
157263,8,8,3,0.5,1.0690449676496976,16,2.5,5.631543812693436,2.5,0.0,0.125,0.125,3.375,4,5.0,6.0,0.0,0.0,0.0,0.0
157425,6,6,3,1.0,1.5491933384829668,33,10.666666666666666,16.536827587740845,10.666666666666666,0.0,0.3333333333333333,0.3333333333333333,6.5,8,9.666666666666666,12.0,0.0,0.0,0.0,0.0
157638,6,6,2,0.5,0.8366600265340756,15,2.6666666666666665,6.0553007081949835,2.6666666666666665,0.0,0.0,0.16666666666666666,2.0,2,5.0,5.0,0.0,0.0,0.0,0.0
157653,8,8,3,1.375,1.1877349391654206,54,12.875,17.69130133306035,12.875,0.0,0.125,0.625,1.125,2,4.625,6.0,0.0,0.0,0.0,0.0
157822,8,8,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.75,14,8.875,23.0,0.0,0.0,0.0,0.0
157823,11,11,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.818181818181818,14,9.363636363636363,23.0,0.0,0.0,0.0,0.0
158003,8,8,3,1.5,1.6035674514745464,48,17.25,19.45507645834372,17.25,0.0,0.5,0.5,5.75,8,8.5,12.0,0.0,0.0,0.0,0.0
161130,6,6,2,0.5,0.8366600265340756,12,2.8333333333333335,4.915960401250875,2.8333333333333335,0.0,0.0,0.16666666666666666,1.0,1,1.0,1.0,0.0,0.0,0.0,0.0
161960,8,8,2,0.5,0.9258200997725515,15,3.5,6.502746672423452,3.5,0.0,0.0,0.25,2.625,4,6.125,10.0,0.0,0.0,0.0,0.0
162027,6,6,2,0.3333333333333333,0.816496580927726,8,1.3333333333333333,3.265986323710904,1.3333333333333333,0.0,0.0,0.16666666666666666,2.1666666666666665,3,2.6666666666666665,4.0,0.0,0.0,0.0,0.0
163741,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2,2.6666666666666665,3.0,0.0,0.0,0.0,0.0
164855,10,10,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2,3.3,5.0,0.0,0.0,0.0,0.0
164856,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2,4.333333333333333,5.0,0.0,0.0,0.0,0.0
16513,6,6,2,0.3333333333333333,0.816496580927726,8,1.3333333333333333,3.265986323710904,1.3333333333333333,0.0,0.0,0.16666666666666666,4.166666666666667,11,6.666666666666667,17.0,0.0,0.0,0.0,0.0
165523,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,2,2.3333333333333335,3.0,0.0,0.0,0.0,0.0
166882,6,6,2,0.3333333333333333,0.816496580927726,8,1.3333333333333333,3.265986323710904,1.3333333333333333,0.0,0.0,0.16666666666666666,2.0,3,2.3333333333333335,3.0,0.0,0.0,0.0,0.0
167630,6,6,2,0.6666666666666666,1.0327955589886444,13,3.1666666666666665,5.382068994974579,2.1666666666666665,1.0,0.0,0.3333333333333333,2.8333333333333335,4,5.5,9.0,0.0,0.0,0.0,0.0
168500,6,6,2,0.6666666666666666,1.0327955589886444,12,3.6666666666666665,5.715476066494082,2.0,1.6666666666666667,0.0,0.3333333333333333,1.5,4,5.333333333333333,17.0,0.0,0.0,0.0,0.0
168784,6,6,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.1666666666666665,8,6.0,16.0,0.0,0.0,0.0,0.0
